id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
924137589233110317,A5@有窗大床房獨立衛生間Double Bed120*185cm,500249738,Starfish,,Yau Tsim Mong,22.2985929,114.1723759,Private room,,1,2,2024-02-01,0.11,9,156,0,
924535627545277326,市中心精緻雙床套房，吃喝玩樂，就在附近,522722793,Kevin,,Yau Tsim Mong,22.30516,114.17193,Private room,989,1,38,2025-02-18,1.87,6,33,17,
924566219744310579,Serviced apartment - Studio on 3/F,196723966,Mj,,Eastern,22.29232,114.19535,Entire home/apt,,28,8,2025-01-01,0.39,13,15,4,
924947562679736406,Hong Kong So Ho & Po Ho Oasis,95862577,Susan,,Central & Western,22.2837607,114.1482782,Entire home/apt,980,4,42,2025-03-01,2.20,1,146,26,
925085083936141110,Cosy one bedroom in Sai Ying Pun,17227430,Alexandre,,Central & Western,22.2852381,114.1418805,Entire home/apt,693,6,16,2024-10-18,0.83,1,55,9,
925090643077687379,Rare! Cozy apt in sheungwan,27509284,Mei Ying,,Central & Western,22.2856855,114.1483938,Entire home/apt,1011,2,44,2025-03-08,2.22,3,254,42,
925290987814088709,Room B- Charming Shared Flat in Prince Edward!,493088457,Comfy Nomad,,Sham Shui Po,22.3271339,114.1661901,Private room,338,30,1,2023-08-13,0.05,93,365,0,
925600672267593182,Cosy Causeway Bay Studio 103,14861546,Tane Residence,,Wan Chai,22.277966526365578,114.18198893563245,Entire home/apt,,30,0,,,124,364,0,
925791814752540717,"Bright, spacious flat in Central",313018120,Krisjanis,,Central & Western,22.2805445,114.1520864,Entire home/apt,990,4,11,2025-02-21,0.56,1,5,6,
926036909000935009,Cat lovers 1 bedroom flat,55786028,Ludivine,,Wan Chai,22.278984358972117,114.17336158637092,Entire home/apt,570,4,7,2025-02-01,0.48,1,9,5,
926435964925177889,"Cozy w/ rooftop in Sai Ying Pun, close to MTR",31080187,Lei,,Central & Western,22.286190008776504,114.1433021786507,Entire home/apt,,3,11,2024-04-07,0.57,1,0,2,
926577462780175900,Serviced apartment - 1 Bedroom Flat on 3/F,196723966,Mj,,Eastern,22.29045,114.19549,Entire home/apt,714,28,10,2025-01-07,0.51,13,81,4,
926600851140501984,MTR~佐敦地铁站B1出口的上下层床房间,24687240,Yang,,Yau Tsim Mong,22.300868032257682,114.17561995697957,Private room,,1,2,2024-03-24,0.10,29,0,1,
926654748279447873,旺角信和中心小型双床房/旺角地铁站E1,24687240,Yang,,Yau Tsim Mong,22.312397589959765,114.17555727045294,Private room,381,1,0,,,29,351,0,
926742629722574620,Cozy Studio in Causeway Bay- Unit E,493088457,Comfy Nomad,,Wan Chai,22.27611,114.18369,Entire home/apt,400,28,2,2023-11-29,0.11,93,364,0,
927116611590613644,SALE  room available . Low Price,213805506,Lian,,Yau Tsim Mong,22.3125100084373,114.17036897128612,Private room,114,29,1,2024-01-21,0.07,13,269,0,
927180718013552910,Big Sale! Next to HKCEE & WanChai MTR Modern 2BR,6684297,Emma,,Wan Chai,22.27769013539947,114.17188853244446,Entire home/apt,1187,1,41,2025-01-04,2.11,54,327,25,
927247540730989276,香港粉岭单间拎包入住,523408543,天笑,,North,22.53341288785138,114.16079312304471,Private room,200,1,0,,,1,364,0,
927433247608367101,Sunset view of Victoria Harbour and Lei Yue Mun,296329962,Tsz Yuen,,Kwun Tong,22.2921,114.23606,Private room,309,30,1,2024-07-29,0.13,1,256,1,
927746906430421945,Centrally located room with private shower,494091690,Fat Chi,,Wan Chai,22.27748345895024,114.18472088865802,Private room,,1,3,2024-11-18,0.55,2,269,3,
928523475828153518,Deluxe Bright Double Bedroom@ Hennessy Road 269,1654196,Salin,,Wan Chai,22.27901,114.17766,Private room,321,1,0,,,89,169,0,
928637745936471575,Bright Sunshine Window Single BR@Hennessy Road 269,1654196,Salin,,Wan Chai,22.27936,114.17648,Private room,253,1,2,2024-04-09,0.17,89,275,2,
928657551960569879,Window Single Rm @ Hennessy Rd 294,1654196,Salin,,Wan Chai,22.276726293640458,114.17680202876163,Private room,247,1,0,,,89,360,0,
928673364227076466,Bright Window Room @ Hennessy Road 294,1654196,Salin,,Wan Chai,22.27733,114.17642,Private room,321,1,0,,,89,365,0,
928685950488371717,Private High Bunk @ Hennessy Road 294,1654196,Salin,,Wan Chai,22.276979296482533,114.17760592026097,Private room,199,1,2,2023-10-02,0.11,89,360,0,
928692684612024085,Window Single Rm @ Hennessy Rd 290,1654196,Salin,,Wan Chai,22.27847,114.17622,Private room,304,1,2,2023-11-17,0.10,89,298,0,
928696235605831000,High Floor Bright Window Double@ Hennessy Road 290,1654196,Salin,,Wan Chai,22.27748825659756,114.17845917386249,Private room,321,1,0,,,89,298,0,
928698595637588196,High Level Deluxe Double @ 187 Wan Chai Road,1654196,Salin,,Wan Chai,22.27636,114.17706,Private room,289,1,1,2024-08-08,0.14,89,0,1,
928698813782812664,Bright & Cozy Window Bunk @ Hennessy Road 290,1654196,Salin,,Wan Chai,22.27847,114.17622,Private room,229,1,2,2023-11-17,0.12,89,298,0,
928740591277722160,Urban Oasis - Design Apt. Wanchai,47681045,Hazel,,Wan Chai,22.27545738035027,114.17574940732139,Entire home/apt,844,2,58,2025-03-09,2.88,1,211,37,
928770054220332278,#2 Cozy Stay Bela Vista Cheung Chau,515614576,Mei Yee Selina,,Islands,22.21271033275185,114.0295697129462,Entire home/apt,950,2,6,2024-10-23,0.34,2,164,3,
929212479474099477,4RM Entire Shared Dormitory@Hennessy Road 294,1654196,Salin,,Wan Chai,22.278581150085284,114.17634713995473,Entire home/apt,2155,1,7,2025-01-29,0.41,89,327,5,
929223372813114587,4RM Entire Shared Dormitory@Hennessy Road 290,1654196,Salin,,Wan Chai,22.276953324842154,114.17787109704675,Entire home/apt,2098,1,8,2025-01-10,0.54,89,294,4,
929239013254675130,Spacious 3BR TST Quiet Long Stay Apartment,403149559,Jenkin,,Yau Tsim Mong,22.30174,114.17368,Entire home/apt,,2,21,2025-02-01,1.07,1,346,17,
929297139075111939,S: 獨立房間帶小廚房和獨立浴室，傢私齊全，銅鑼灣地鐵站旁邊。,353326613,Savi,,Wan Chai,22.2804,114.18618,Private room,,28,0,,,79,212,0,
929301808065722494,S: 獨立的 studio 帶廚房和洗衣機，獨立浴室，地鐵旁,353326613,Savi,,Wan Chai,22.281101046684903,114.18647831926276,Private room,,28,0,,,79,212,0,
929306664583384026,S：開陽光猛，帶小廚房和洗衣機大房，銅鑼灣地鐵房。,353326613,Savi,,Wan Chai,22.28084,114.18465,Private room,,28,0,,,79,212,0,
